severity,cash_impact_inr,entity_type,entity_id,reason_code,detail,confidence,suggested_action,blocking_data,candidates_considered
100,110371.61,settlement,setl_0002,SETTLEMENT_NOT_IN_BANK,gateway declared a payout with no corresponding bank credit,0.90,Raise payout trace with gateway; confirm beneficiary account.,"{""payout_paise"": 11037161, ""settled_on"": ""2026-04-05"", ""utr"": ""UTR162787203229""}",[]
100,279143.31,settlement,setl_0023,SETTLEMENT_NOT_IN_BANK,gateway declared a payout with no corresponding bank credit,0.90,Raise payout trace with gateway; confirm beneficiary account.,"{""payout_paise"": 27914331, ""settled_on"": ""2026-04-26"", ""utr"": ""UTR760048479160""}",[]
100,165433.60,settlement,setl_0025,SETTLEMENT_NOT_IN_BANK,gateway declared a payout with no corresponding bank credit,0.90,Raise payout trace with gateway; confirm beneficiary account.,"{""payout_paise"": 16543360, ""settled_on"": ""2026-04-28"", ""utr"": ""UTR669559244804""}",[]
90,306.27,settlement,setl_0004,BATCH_ARITHMETIC_MISMATCH,declared payout != sum(net) - refunds,1.00,Request settlement breakup file; check for unlisted deduction.,"{""declared_paise"": 14768516, ""expected_paise"": 14799143, ""delta_paise"": -30627, ""member_payments"": 7, ""refunds_applied"": 0}",[]
80,1477.94,settlement,setl_0003,AMOUNT_MISMATCH,"bank credit short of declared payout (no identifier survived; matched on a plausible withholding rate, uniquely, within window)",0.80,Check for TDS/adjustment withheld outside the declared batch.,"{""declared_paise"": 14779424, ""credited_paise"": 14631630, ""delta_paise"": -147794, ""implied_rate_bp"": 100}",[]
80,1896.20,settlement,setl_0024,AMOUNT_MISMATCH,bank credit short of declared payout,0.95,Check for TDS/adjustment withheld outside the declared batch.,"{""declared_paise"": 18961989, ""credited_paise"": 18772369, ""delta_paise"": -189620, ""implied_rate_bp"": 100}",[]
80,2385.20,settlement,setl_0026,AMOUNT_MISMATCH,bank credit short of declared payout,0.95,Check for TDS/adjustment withheld outside the declared batch.,"{""declared_paise"": 23851971, ""credited_paise"": 23613451, ""delta_paise"": -238520, ""implied_rate_bp"": 100}",[]
70,2906.90,bank_line,bank_00026,UNEXPLAINED_BANK_CREDIT,credit could not be attributed to any payout,0.85,"Identify remitter; likely direct customer transfer, not gateway.","{""amount_paise"": 290690, ""narration"": ""NEFT CR-ORBIT MOBILITY-DIRECT-UTR951840275774"", ""value_date"": ""2026-04-06""}",[]
70,21734.95,bank_line,bank_00027,UNEXPLAINED_BANK_CREDIT,credit could not be attributed to any payout,0.85,"Identify remitter; likely direct customer transfer, not gateway.","{""amount_paise"": 2173495, ""narration"": ""NEFT CR-GREENLEAF ORGANICS-DIRECT-UTR125828215650"", ""value_date"": ""2026-04-23""}",[]
70,14291.40,bank_line,bank_00028,UNEXPLAINED_BANK_CREDIT,credit could not be attributed to any payout,0.85,"Identify remitter; likely direct customer transfer, not gateway.","{""amount_paise"": 1429140, ""narration"": ""NEFT CR-PIXELWORKS STUDIO-DIRECT-UTR555507126941"", ""value_date"": ""2026-04-22""}",[]
70,26751.66,bank_line,bank_00029,UNEXPLAINED_BANK_CREDIT,credit could not be attributed to any payout,0.85,"Identify remitter; likely direct customer transfer, not gateway.","{""amount_paise"": 2675166, ""narration"": ""NEFT CR-PIXELWORKS STUDIO-DIRECT-UTR199457177592"", ""value_date"": ""2026-04-26""}",[]
60,199.50,payment,pay_00086h,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 3989962, ""fee_charged"": 99749, ""fee_expected"": 79799, ""delta_paise"": 19950}",[]
60,66.87,payment,pay_00103e,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 2674757, ""fee_charged"": 46808, ""fee_expected"": 53495, ""delta_paise"": -6687}",[]
60,50.34,payment,pay_00147b,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 2013610, ""fee_charged"": 35238, ""fee_expected"": 40272, ""delta_paise"": -5034}",[]
60,27.19,payment,pay_00274b,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 1087540, ""fee_charged"": 19032, ""fee_expected"": 21751, ""delta_paise"": -2719}",[]
60,40.69,payment,pay_00290g,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 1627600, ""fee_charged"": 36621, ""fee_expected"": 32552, ""delta_paise"": 4069}",[]
60,72.26,payment,pay_00294c,FEE_RATE_MISMATCH,fee does not equal contracted MDR,1.00,Compare against contracted MDR; raise fee dispute if confirmed.,"{""gross_paise"": 1445328, ""fee_charged"": 36133, ""fee_expected"": 28907, ""delta_paise"": 7226}",[]
55,0.00,payment,pay_00057d,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 84748, ""gst_charged"": 12712, ""gst_expected"": 15255}",[]
55,0.00,payment,pay_00142a,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 22548, ""gst_charged"": 3382, ""gst_expected"": 4059}",[]
55,0.00,payment,pay_00146d,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 87234, ""gst_charged"": 13085, ""gst_expected"": 15702}",[]
55,0.00,payment,pay_00162e,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 15647, ""gst_charged"": 2347, ""gst_expected"": 2816}",[]
55,0.00,payment,pay_00173g,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 18328, ""gst_charged"": 2749, ""gst_expected"": 3299}",[]
55,0.00,payment,pay_00189f,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 23953, ""gst_charged"": 3593, ""gst_expected"": 4312}",[]
55,0.00,payment,pay_00207g,GST_MISMATCH,GST on fee is not 18%,1.00,Verify GST on fee at 18%; check gateway tax invoice.,"{""fee_paise"": 71042, ""gst_charged"": 10656, ""gst_expected"": 12788}",[]
50,7907.90,payment,pay_orphan_0,PAYMENT_NO_ORDER,gateway capture with no internal order,0.00,Capture with no internal order: check for out-of-band payment link.,"{""gross_paise"": 790790, ""order_ref"": null}",[]
50,6661.05,payment,pay_orphan_1,PAYMENT_NO_ORDER,gateway capture with no internal order,0.00,Capture with no internal order: check for out-of-band payment link.,"{""gross_paise"": 666105, ""order_ref"": null}",[]
50,4737.82,payment,pay_orphan_2,PAYMENT_NO_ORDER,gateway capture with no internal order,0.00,Capture with no internal order: check for out-of-band payment link.,"{""gross_paise"": 473782, ""order_ref"": null}",[]
